feature,mean,std
n_points,1024.0,0.0
lambda1,0.09489253142604494,0.033938396636854745
lambda2,0.01033774071750925,0.008591285965149286
lambda3,0.006160034350660016,0.005237622041159626
r1,0.8528421651204142,0.08901816177273307
r2,0.09170947282339315,0.05623364228193959
r3,0.055448362708285695,0.03568455363034358
ratio12,15.78971772091179,18.69853636814916
ratio23,1.8037831023522723,0.7116329011433242
trace,0.11139030662604359,0.0381711703104968
proj_hist_bin_0,0.3289420163824057,0.14428629734103426
proj_hist_bin_1,0.28603287701974867,0.08427817337838513
proj_hist_bin_2,0.16975882237432674,0.07753562606118354
proj_hist_bin_3,0.08845692605475763,0.06832985715410521
proj_hist_bin_4,0.04858968245062836,0.04556253415839128
proj_hist_bin_5,0.030641620848294436,0.028431198053132486
proj_hist_bin_6,0.022171650583482944,0.01763560809773085
proj_hist_bin_7,0.025406404286355475,0.015500725976928191
